instance,variant,threads,seed,generations,best_fitness,best_value,best_feasible_fitness,best_feasible_value,feasible,time_ms,best_feasible_items,best_feasible_weight,best_feasible_volume
data/instance_medium,parallel,1,2048,200,0.324703,34229.5,0.249932,21525.1,1,4639.42,408,10502.8,8233.91
data/instance_medium,parallel,1,3141,200,0.326616,33406.7,0.249924,21520.9,1,4659.24,401,10603.8,8164.26
data/instance_medium,parallel,1,4096,200,0.324785,35161.5,0.251962,21680.7,1,4661.91,395,10591.4,7910.58
data/instance_medium,parallel,1,5000,200,0.32638,33639,0.252224,21718.7,1,4627.49,400,10322.3,8243.16
data/instance_medium,parallel,1,6789,200,0.325502,32468.6,0.249858,21508.4,1,4623.13,404,10588.3,8148.12
data/instance_medium,parallel,1,7654,200,0.327955,34496.2,0.255816,22025.9,1,4645.87,403,10437,8222.53
data/instance_medium,parallel,1,8192,200,0.326552,33620,0.251229,21631.4,1,4617.76,405,10331.4,8248.27
data/instance_medium,parallel,1,9001,200,0.327689,35134.8,0.250472,21566.4,1,4645.5,402,10295.2,8239.63
data/instance_medium,parallel,1,9999,200,0.328366,34094.8,0.252442,21747.8,1,4656.55,413,10447.3,8238.33
data/instance_medium,parallel,2,42,200,0.326776,33498.4,0.254379,21897.1,1,2370.71,401,10597.5,8172.79
data/instance_medium,parallel,2,123,200,0.324673,34634.9,0.251467,21662.2,1,2372.22,407,10598.7,8245.96
data/instance_medium,parallel,2,256,200,0.325907,33956.5,0.251232,21643.7,1,2364.32,405,10526.6,8225.64
data/instance_medium,parallel,2,512,200,0.328291,34506.4,0.25568,22012.5,1,2391.41,400,10417.8,8249.58
data/instance_medium,parallel,2,999,200,0.329277,34732.1,0.251006,21605.4,1,2383.86,403,10593.6,8168.08
data/instance_medium,parallel,2,1337,200,0.324432,33722.6,0.249438,21479.1,1,2381.84,409,10545.4,8236.78
data/instance_medium,parallel,2,2048,200,0.326092,35541.1,0.249932,21525.1,1,2388.21,408,10502.8,8233.91
data/instance_medium,parallel,2,3141,200,0.323194,32918.4,0.249924,21520.9,1,2366.19,401,10603.8,8164.26
data/instance_medium,parallel,2,4096,200,0.328532,35014.8,0.251962,21680.7,1,2503.63,395,10591.4,7910.58
data/instance_medium,parallel,2,5000,200,0.324639,33141,0.252224,21718.7,1,2371.42,400,10322.3,8243.16
data/instance_medium,parallel,2,6789,200,0.32649,35005.1,0.249858,21508.4,1,2383.55,404,10588.3,8148.12
data/instance_medium,parallel,2,7654,200,0.327871,35119.1,0.255816,22025.9,1,2388.75,403,10437,8222.53
data/instance_medium,parallel,2,8192,200,0.329038,33089.7,0.251229,21631.4,1,2368.35,405,10331.4,8248.27
data/instance_medium,parallel,2,9001,200,0.324398,34235.6,0.250472,21566.4,1,2378.33,402,10295.2,8239.63
data/instance_medium,parallel,2,9999,200,0.329075,33591.9,0.252442,21747.8,1,2369.12,413,10447.3,8238.33
data/instance_medium,parallel,4,42,200,0.326247,33438.7,0.254379,21897.1,1,1255.24,401,10597.5,8172.79
data/instance_medium,parallel,4,123,200,0.330172,33642.4,0.251467,21662.2,1,1255.88,407,10598.7,8245.96
data/instance_medium,parallel,4,256,200,0.327562,33456.1,0.251232,21643.7,1,1297.86,405,10526.6,8225.64
data/instance_medium,parallel,4,512,200,0.326853,34085.5,0.25568,22012.5,1,1267.13,400,10417.8,8249.58
data/instance_medium,parallel,4,999,200,0.326937,33801.3,0.251006,21605.4,1,1231.16,403,10593.6,8168.08
data/instance_medium,parallel,4,1337,200,0.326747,34257.7,0.249438,21479.1,1,1257.09,409,10545.4,8236.78
data/instance_medium,parallel,4,2048,200,0.322227,33396.4,0.249932,21525.1,1,1240.01,408,10502.8,8233.91
data/instance_medium,parallel,4,3141,200,0.328925,33240.1,0.249924,21520.9,1,1264.15,401,10603.8,8164.26
data/instance_medium,parallel,4,4096,200,0.325678,34056.1,0.251962,21680.7,1,1263.5,395,10591.4,7910.58
data/instance_medium,parallel,4,5000,200,0.32801,35388.1,0.252224,21718.7,1,1342.15,400,10322.3,8243.16
data/instance_medium,parallel,4,6789,200,0.327695,33548,0.249858,21508.4,1,1233.92,404,10588.3,8148.12
data/instance_medium,parallel,4,7654,200,0.329508,34722.5,0.255816,22025.9,1,1264.56,403,10437,8222.53
data/instance_medium,parallel,4,8192,200,0.326257,32566,0.251229,21631.4,1,1227.58,405,10331.4,8248.27
data/instance_medium,parallel,4,9001,200,0.327996,35290.4,0.250472,21566.4,1,1267.23,402,10295.2,8239.63
data/instance_medium,parallel,4,9999,200,0.327125,33924.1,0.252442,21747.8,1,1236.16,413,10447.3,8238.33
data/instance_medium,parallel,8,42,200,0.326124,34640.6,0.254379,21897.1,1,729.841,401,10597.5,8172.79
data/instance_medium,parallel,8,123,200,0.326806,32758.7,0.251467,21662.2,1,697.013,407,10598.7,8245.96
data/instance_medium,parallel,8,256,200,0.325147,33185.9,0.251232,21643.7,1,713.159,405,10526.6,8225.64
data/instance_medium,parallel,8,512,200,0.325386,33807.5,0.25568,22012.5,1,693.523,400,10417.8,8249.58
data/instance_medium,parallel,8,999,200,0.323708,34097.8,0.251006,21605.4,1,713.905,403,10593.6,8168.08
data/instance_medium,parallel,8,1337,200,0.32499,33739.4,0.249438,21479.1,1,704.606,409,10545.4,8236.78
data/instance_medium,parallel,8,2048,200,0.328333,33977.1,0.249932,21525.1,1,729.467,408,10502.8,8233.91
data/instance_medium,parallel,8,3141,200,0.324784,33426.7,0.249924,21520.9,1,720.741,401,10603.8,8164.26
data/instance_medium,parallel,8,4096,200,0.328883,32927.6,0.251962,21680.7,1,705.822,395,10591.4,7910.58
data/instance_medium,parallel,8,5000,200,0.328854,34706.1,0.252224,21718.7,1,713.001,400,10322.3,8243.16
data/instance_medium,parallel,8,6789,200,0.326398,34081,0.249858,21508.4,1,706.421,404,10588.3,8148.12
data/instance_medium,parallel,8,7654,200,0.325189,33970.1,0.255816,22025.9,1,716.031,403,10437,8222.53
data/instance_medium,parallel,8,8192,200,0.328821,33397.2,0.251229,21631.4,1,712.919,405,10331.4,8248.27
data/instance_medium,parallel,8,9001,200,0.327236,33659.3,0.250472,21566.4,1,717.488,402,10295.2,8239.63
data/instance_medium,parallel,8,9999,200,0.322634,33730.8,0.252442,21747.8,1,698.788,413,10447.3,8238.33
data/instance_medium,islands,1,42,200,0.324165,34260.4,0.254379,21897.1,1,4746.9,401,10597.5,8172.79
data/instance_medium,islands,1,123,200,0.326608,34104.1,0.251467,21662.2,1,4759.28,407,10598.7,8245.96
data/instance_medium,islands,1,256,200,0.323977,36134.2,0.251232,21643.7,1,4797.73,405,10526.6,8225.64
data/instance_medium,islands,1,512,200,0.324566,32960.4,0.25568,22012.5,1,4726.83,400,10417.8,8249.58
data/instance_medium,islands,1,999,200,0.327695,34624.1,0.251006,21605.4,1,4761.15,403,10593.6,8168.08
data/instance_medium,islands,1,1337,200,0.329595,34047,0.249438,21479.1,1,4743.83,409,10545.4,8236.78
data/instance_medium,islands,1,2048,200,0.328636,34415.7,0.249932,21525.1,1,4756.03,408,10502.8,8233.91
data/instance_medium,islands,1,3141,200,0.324948,32252.2,0.249924,21520.9,1,4712.14,401,10603.8,8164.26
data/instance_medium,islands,1,4096,200,0.325812,33322.6,0.251962,21680.7,1,4739.3,395,10591.4,7910.58
data/instance_medium,islands,1,5000,200,0.324572,34110.9,0.252224,21718.7,1,4752.82,400,10322.3,8243.16
data/instance_medium,islands,1,6789,200,0.329324,34459.8,0.249858,21508.4,1,4755.75,404,10588.3,8148.12
data/instance_medium,islands,1,7654,200,0.324505,33546.3,0.255816,22025.9,1,4718.21,403,10437,8222.53
data/instance_medium,islands,1,8192,200,0.33451,35583.4,0.251229,21631.4,1,4760.56,405,10331.4,8248.27
data/instance_medium,islands,1,9001,200,0.327547,35232.7,0.250472,21566.4,1,4777.23,402,10295.2,8239.63
data/instance_medium,islands,1,9999,200,0.326576,33908.7,0.252442,21747.8,1,4728.82,413,10447.3,8238.33
data/instance_medium,islands,2,42,200,0.330678,34037.4,0.254379,21897.1,1,4902.39,401,10597.5,8172.79
